5,3081,specific,特有的，独特的：exact sort；明确的：clearly expressed
5,2671,subject,臣民，受支配的人：under authority；取决于（其他因素）的：under the influence
5,2373,project,方案，计划：specific plan；凸出：extend outward；预测，预计：based on present data or trends
5,2349,want,短缺：lacking；渴望：desire
5,2303,issue,（有争议的）话题，议题：matter that is in dispute；发布（期刊）等：produce and release；（使）流出：flow out
5,2119,mean,"卑贱的：ignoble；吝啬的：sharing little；打算，怀有目的：purpose or goal；意味着：convey, show or indicate"
5,2101,movement,运动：moving
5,2038,appropriate,"私自挪用：take possession, without permission; 适当的：suitable, fitting"
5,1851,authority,"（某领域的）权威人士：a high level of knowledge; 管辖权，控制：lawful control; 影响力：power to direct; （管束他人的）权力：right, control others; 根据，理由：warrant"
5,1793,relevant,有关系的，重要的：having connection
5,1773,military,"军事的，军用的：soldiers, arms, or war"
5,1771,don,穿上：put on
5,1759,argument,"争吵，争论：expression of differing opinions；（逻辑上的）论证：from a premise to a conclusion；观点，论点：idea, opinion"
5,1722,claim,"要求（权利）：ask for, right; 断言：state as a fact; 剥夺生命：deprive, life; 权利：right"
5,1710,original,"创新的：creative, inventive；最初的，最早的：before"
5,1693,content,使满足：appease；主题：major subject of interest；内容，内涵：idea that is conveyed
5,1486,run,（不间断的）连续演出：course of performances
5,1385,list,（使）倾斜：at an angle
5,1295,meet,合适的：very proper
5,1155,sound,牢固的，不可动摇的：withstand stress without structural damage；健康的，强壮的：free from injury；（逻辑）上严谨的：valid reasoning
5,1092,strength,力量：ability to exert effort；（抵抗攻击、压力的）强度：ability to withstand force 
4,1477,court,追求，献殷勤：seek affections
4,1382,religion,宗教，信仰：beliefs；（对于宗教信仰的）忠诚，虔诚：loyalty to God
4,1122,considerable,（数量上）可观（而值得注意）的：large；值得考虑的，重要的：significant
4,1091,aspect,外表，容貌：appearance
4,1051,severe,严厉的，要求严格的：exacting standards；难以承受的，艰难的：difficult to endure
4,1044,contract,契约，合同：binding agreement；收缩：reduce size；感染疾病：become affected
4,1043,shift,改变...的位置：change position；改变，变化：pass from；交换：in return
4,1030,reflect,反射：change direction；反映，显露：make manifest；思考：think seriously
4,1009,dominant,处于支配地位的：controlling others；（基因）显性的：genetic dominance
4,999,commitment,"致力，投入：obligated, impelled; 确信：belief; 承诺，表态：revealing one’s view"
4,992,crucial,非常重要的，决定性的：extremely significant
4,959,consequence,结果：produced by cause；重要性，价值：importance
4,956,rational,合乎逻辑的：logical；理性的：based on reasoning
4,954,bound,界限：beyond which a person or thing cannot go; 给···设置界限：set limits; 投入的，坚定的：fully committed
4,948,substantial,物质的：having substance；有重大意义的：considerable in importance
4,933,diversity,"多样性：variety, multiformity；分歧，不同点：different"
4,901,spent,精疲力竭的：drained of energy
4,899,measured,深思熟虑的，审慎的：calculated
